goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   62851	     16447 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   66810	     16315 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   66739	     16523 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   66220	     16517 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   63270	     16526 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   65734	     16592 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   65985	     16382 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   63804	     16561 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   65931	     16327 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   65634	     16439 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   66300	     16430 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   62210	     16556 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   66004	     16484 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   66380	     16400 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65210	     16434 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65788	     16403 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   63398	     16540 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   66620	     16398 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65252	     16323 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   66748	     17059 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65325	     16382 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65805	     16670 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   66229	     16311 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   63378	     16492 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   66338	     16422 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   66951	     16286 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65328	     16633 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65728	     16554 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   66345	     16560 ns/op	     839 B/op	      16 allocs/op
PASS
ok  	cw	239.786s
