goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   41396	     26716 ns/op	     852 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   40966	     25669 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   40471	     25089 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   46117	     24577 ns/op	     848 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   44005	     25975 ns/op	     858 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   43360	     26107 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   44060	     25103 ns/op	     852 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   40822	     25878 ns/op	     856 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   40644	     24654 ns/op	     856 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   40126	     25710 ns/op	     857 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   42272	     24417 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   43665	     25545 ns/op	     852 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   48608	     25101 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   43678	     24980 ns/op	     852 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   40158	     28994 ns/op	     866 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   44498	     25137 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   46855	     24780 ns/op	     851 B/op	      16 allocs/op
