goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   41336	     26361 ns/op	     855 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   41263	     25657 ns/op	     864 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   46508	     25572 ns/op	     852 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   39198	     27163 ns/op	     860 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   43932	     26978 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   41583	     26119 ns/op	     857 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   41940	     24935 ns/op	     857 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   41080	     26102 ns/op	     858 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   42477	     26414 ns/op	     857 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   44832	     27800 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   42414	     27546 ns/op	     857 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   42253	     29320 ns/op	     865 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   38676	     27674 ns/op	     862 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   46392	     26156 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   43994	     26289 ns/op	     857 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   41938	     26186 ns/op	     863 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   40836	     26757 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   40857	     27678 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   46879	     26241 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   47967	     25419 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1150_workers-12        	   46732	     26182 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   40952	     26490 ns/op	     867 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   42571	     25260 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   43282	     26715 ns/op	     860 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   44949	     26115 ns/op	     858 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   42256	     25329 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   40267	     26130 ns/op	     862 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   43370	     25801 ns/op	     860 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   44349	     26233 ns/op	     859 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   41761	     27731 ns/op	     861 B/op	      17 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   44523	     26094 ns/op	     859 B/op	      16 allocs/op
PASS
ok  	cw	338.032s
